n,matrix_0_time,matrix_0_timep,matrix_cache_time,matrix_cache_timep
8,2125,0.00012666,1883,0.000112236
16,1832,0.000436783,2168,0.000516891
32,2618,0.00249672,5545,0.00528812
64,5134,0.0195847,5033,0.0191994
128,4968,0.0758057,4934,0.0752869
256,5107,0.311707,4783,0.291931
512,5559,1.35718,4803,1.17261
1024,7008,6.84375,4839,4.72559
2048,9834,38.4141,4954,19.3516
4096,16713,261.141,5037,78.7031
8192,13898,868.625,4948,309.25
16384,23061,5765.25,4983,1245.75
32768,25747,25747,5106,5106
